comp1;comp2;Substance;Matched Substance;Color;Supplyrisk;Geography;ecoinvent_UUID;cas_number;Unit
Raw;in ground;Cadmium;Cadmium;#dbdb8d;0.4255087066644048;BE;bf377e4f-3a95-4ce2-a9ba-66ee31f00f60;7440-43-9;kg Cu eq/kg
Raw;in ground;Chromium;Chromite;#f7b6d2;0.226254409334551;BE;e189e2d4-3d3f-4ada-b302-91611784311f;7440-47-3;kg Cu eq/kg
Raw;in ground;Cobalt;Cobalt;#ff9896;15.57645894481082;BE;d0779a5e-6969-4144-954e-ceb81fb83f15;7440-48-4;kg Cu eq/kg
Raw;in ground;;;;0.1243478360807663;BE;;;kg Cu eq/kg
Raw;in ground;Copper;Copper;#9467bd;0.3842210140546357;BE;a9ac40a0-9bea-4c48-afa7-66aa6eb90624;7440-50-8;kg Cu eq/kg
Raw;in ground;Diatomite;Diatomite;#2ca02c;0.1053576187211376;BE;9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0;61790-53-2;kg Cu eq/kg
Raw;in ground;Feldspar;Feldspar;#e377c2;0.02163513190501084;BE;26296ec9-ff93-41e6-bbbf-6175af04284d;68476-25-5;kg Cu eq/kg
Raw;in ground;Fluorspar;Fluorspar;#c7c7c7;0.1977925591150385;BE;0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5;14542-23-5;kg Cu eq/kg
Raw;in ground;Germanium;Germanium;#dbdb8d;0.0;BE;d3e547dc-1a29-5ece-8dbb-bd9c0ad3cc46;7440-56-4;kg Cu eq/kg
Raw;in ground;Gold;Gold;#dbdb8d;6.080692425576482;BE;d080e6a4-42c6-484e-b5d7-d74693aec7d9;7440-57-5;kg Cu eq/kg
Raw;in ground;Graphite;Graphite;#17becf;0.6576032825712119;BE;5666353e-2db2-41d3-8414-404709151422;7782-42-5;kg Cu eq/kg
Raw;in ground;Anhydrite;Gypsum;#1f77b4;0.003007581435187582;BE;6df9ea09-115a-4678-9f30-d92c877a46ec;7778-18-9;kg Cu eq/kg
Raw;in ground;Gypsum;Gypsum;#1f77b4;0.003007581435187582;BE;11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6;13397-24-5;kg Cu eq/kg
Raw;in ground;Iron;Iron;#ffbb78;0.02793155377966079;BE;8ce3ff02-7a1e-48e3-881e-3248b944f28a;7439-89-6;kg Cu eq/kg
